handle,month,tweet_count
Gerold_Otten,04/2019,1
Gerold_Otten,03/2019,2
Gerold_Otten,02/2019,3
Gerold_Otten,12/2018,4
Gerold_Otten,11/2018,8
Gerold_Otten,09/2018,3
Gerold_Otten,08/2018,1
Gerold_Otten,07/2018,2
h_weyel,11/2020,1
h_weyel,10/2020,1
h_weyel,09/2020,9
h_weyel,08/2020,1
h_weyel,07/2020,3
h_weyel,06/2020,1
h_weyel,05/2020,2
h_weyel,04/2020,3
h_weyel,03/2020,2
h_weyel,02/2020,3
h_weyel,01/2020,2
h_weyel,12/2019,1
h_weyel,11/2019,1
h_weyel,10/2019,5
h_weyel,09/2019,2
h_weyel,08/2019,3
h_weyel,07/2019,1
h_weyel,06/2019,3
h_weyel,05/2019,4
h_weyel,04/2019,1
h_weyel,03/2019,1
h_weyel,02/2019,2
h_weyel,12/2018,2
h_weyel,11/2018,2
h_weyel,09/2018,1
h_weyel,08/2018,2
h_weyel,07/2018,2
h_weyel,06/2018,2
h_weyel,05/2018,2
h_weyel,04/2018,2
h_weyel,03/2018,1
h_weyel,01/2018,5
h_weyel,11/2017,2
h_weyel,10/2017,2
h_weyel,09/2017,3
h_weyel,05/2017,1
